owner,name,createdAt,pushedAt,isMirror,diskUsage,primaryLanguage,languages,contributors,watchers,stargazers,forks,issues,commits,pullRequests,branches,tags,releases,description
meteor,meteor,2012-01-19 01:58:17,2024-06-29 21:32:02,False,127531,JavaScript,16,729,1554,44135,5158,9040,34802,3912,1706,1546,0,"Meteor, the JavaScript App Platform"
laurent22,joplin,2017-01-16 21:49:41,2024-06-29 20:52:26,False,449723,TypeScript,18,607,480,44086,4767,6369,11540,4215,241,1201,340,"Joplin - the secure note taking and to-do app with synchronisation capabilities for Windows, macOS, Linux, Android and iOS."
PowerShell,PowerShell,2016-01-13 23:41:35,2024-06-25 04:07:43,False,93338,C#,9,463,1410,43971,7119,12228,10647,8531,10,181,168,PowerShell for every system!
nocodb,nocodb,2017-10-29 18:51:48,2024-06-30 10:17:54,False,1202980,TypeScript,10,276,362,43529,3022,3242,23305,4004,141,263,142,🔥 🔥 🔥 Open Source Airtable Alternative
firstcontributions,first-contributions,2016-09-20 14:35:09,2024-06-30 14:10:44,False,42688,,0,9982,509,43466,75198,758,35207,84936,1,0,0,🚀✨ Help beginners to contribute to open source projects
babel,babel,2014-09-28 13:38:23,2024-06-29 07:08:35,False,113646,TypeScript,6,1095,813,43033,5596,8786,16430,7050,15,855,397,🐠 Babel is a compiler for writing next generation JavaScript.
go-gitea,gitea,2016-11-01 02:13:26,2024-06-30 12:40:43,False,285224,Go,13,1374,498,42971,5298,13224,18235,18071,17,211,193,"Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD"
pandas-dev,pandas,2010-08-24 01:37:33,2024-06-30 09:19:05,False,356857,Python,10,3239,1113,42559,17560,26570,35191,32535,18,176,108,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more"
n8n-io,n8n,2019-06-22 09:24:21,2024-06-29 13:39:01,False,157951,TypeScript,11,417,341,42246,5450,1639,11076,8238,805,1529,180,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.
appwrite,appwrite,2019-04-08 16:36:25,2024-06-30 14:00:43,False,279943,TypeScript,4,345,372,42196,3802,3504,21345,3918,207,384,89,"Your backend, minus the hassle."
hashicorp,terraform,2014-03-13 22:25:48,2024-06-29 07:36:45,False,311071,Go,6,2733,1173,41605,9404,20822,32976,14206,730,342,311,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned."
grpc,grpc,2014-12-08 18:58:53,2024-06-30 07:49:56,False,521505,C++,24,906,1367,41133,10427,11319,55258,25514,246,352,305,"The C based gRPC (C++, Python, Ruby, Objective-C, PHP, C#)"
Homebrew,brew,2016-03-06 05:08:38,2024-06-30 06:41:06,False,84363,Ruby,9,965,709,40054,9393,4404,40502,12360,8,390,372,🍺 The missing package manager for macOS (or Linux)
vuetifyjs,vuetify,2016-09-12 00:39:35,2024-06-30 02:58:31,False,88701,TypeScript,7,974,592,39304,6933,13908,15997,5245,127,569,556,🐉 Vue Component Framework
RocketChat,Rocket.Chat,2015-05-19 07:36:09,2024-06-30 08:55:20,False,893262,TypeScript,13,897,882,39269,10062,15830,25737,16089,906,939,915,The communications platform that puts data protection first.
fastlane,fastlane,2014-12-02 17:00:38,2024-06-30 09:09:59,False,81697,Ruby,9,1308,739,38819,5639,12912,16595,7433,97,1305,542,🚀 The easiest way to automate building and releasing your iOS and Android apps
dbeaver,dbeaver,2015-10-21 08:26:28,2024-06-30 06:49:49,False,181947,Java,8,316,507,38286,3311,16855,25855,5509,84,212,202,Free universal database tool and SQL client
Kong,kong,2014-11-17 23:56:08,2024-06-28 16:10:44,False,97692,Lua,8,391,1003,38249,4749,4352,10578,7838,303,166,141,🦍 The Cloud-Native API Gateway and AI Gateway.
prisma,prisma,2019-06-20 13:33:47,2024-06-30 12:43:27,False,118267,TypeScript,6,262,238,37977,1471,10252,10871,7574,239,191,191,"Next-generation ORM for Node.js & TypeScript | PostgreSQL, MySQL, MariaDB, SQL Server, SQLite, MongoDB and CockroachDB"
php,php-src,2011-06-16 01:52:25,2024-06-30 13:13:51,False,555447,C,20,962,1400,37550,7682,2702,136603,11869,485,1341,0,The PHP Interpreter
getsentry,sentry,2010-08-30 22:06:41,2024-06-29 06:46:46,False,489641,Python,12,773,686,37469,4023,12540,70962,59914,1689,445,132,Developer-first error tracking and performance monitoring
metabase,metabase,2015-02-02 19:25:47,2024-06-29 07:21:21,False,642504,Clojure,10,405,641,37227,4936,18953,31709,25921,1565,581,508,"The simplest, fastest way to get business intelligence and analytics to everyone in your company :yum:"
phaserjs,phaser,2013-04-12 12:27:51,2024-06-29 06:52:02,False,402920,JavaScript,3,562,1216,36614,7065,4334,19589,2358,7,168,149,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering."
pingcap,tidb,2015-09-06 04:01:52,2024-06-30 14:40:26,False,480260,Go,12,906,1262,36491,5738,18385,23969,35825,238,457,193,"TiDB is an open-source, cloud-native, distributed, MySQL-Compatible database for elastic scale and real-time analytics. Try AI-powered Chat2Query free at : https://www.pingcap.com/tidb-serverless/"
eugenp,tutorials,2013-04-29 18:26:36,2024-06-30 13:57:48,False,85964,Java,41,1036,1515,36259,54390,747,16583,16197,11,0,0,"Just Announced - ""Learn Spring Security OAuth"": "
odoo,odoo,2014-05-13 15:38:58,2024-06-30 14:33:30,False,8797579,Python,10,2799,1499,35971,23394,17487,171984,152000,93,0,0,Odoo. Open Source Apps To Grow Your Business.
vim,vim,2015-08-18 21:03:56,2024-06-30 09:54:50,False,139709,Vim Script,35,426,674,35507,5318,8050,19765,6974,1,17249,0,The official Vim repository
vlang,v,2019-02-08 02:57:06,2024-06-30 01:32:09,False,77632,V,18,747,488,35500,2146,8394,17879,11882,2,227,211,"Simple, fast, safe, compiled language for developing maintainable software. Compiles itself in <1s with zero library dependencies. Supports automatic C => V translation. https://vlang.io"
istio,istio,2016-11-18 23:57:21,2024-06-30 14:33:19,False,266649,Go,11,1069,989,35339,7627,19504,23230,31795,87,352,348,"Connect, secure, control, and observe services."
ClickHouse,ClickHouse,2016-06-02 08:28:18,2024-06-30 14:44:57,False,1314786,C++,23,1594,689,35322,6596,20155,145651,45095,8548,1733,557,ClickHouse® is a real-time analytics DBMS
apache,airflow,2015-04-13 18:04:58,2024-06-30 12:54:44,False,290315,Python,13,2960,760,35222,13765,9211,24930,26961,133,5256,85,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
mitmproxy,mitmproxy,2010-02-16 04:10:13,2024-06-30 06:46:27,False,61568,Python,10,480,625,35122,3943,3305,10598,2849,9,102,63,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.
NervJS,taro,2018-04-08 09:32:26,2024-06-29 15:35:58,False,1518099,TypeScript,11,564,691,35046,4742,10892,12044,4338,82,885,176,开放式跨端跨框架解决方案，支持使用 React/Vue/Nerv 等框架来开发微信/京东/百度/支付宝/字节跳动/ QQ 小程序/H5/React Native 等应用。  https://taro.zone/
dotnet,aspnetcore,2014-03-11 06:09:42,2024-06-30 12:18:49,False,425766,C#,22,3448,1449,34777,9823,33910,53636,18187,260,270,226,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux."
curl,curl,2010-03-18 22:32:22,2024-06-30 14:04:44,False,89448,C,12,1047,780,34759,6240,4557,32553,8806,16,216,79,"A command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, GOPHER, GOPHERS, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, MQTT, POP3, POP3S, RTMP, RTMPS, RTSP, SCP, SFTP, SMB, SMBS, SMTP, SMTPS, TELNET, TFTP, WS and WSS. libcurl offers a myriad of powerful features"
xitu,gold-miner,2015-11-04 03:29:13,2024-04-17 09:44:37,False,80499,,0,562,1271,33524,5017,5591,11473,3933,1,0,0,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：
rapid7,metasploit-framework,2011-08-30 06:13:20,2024-06-29 05:30:12,False,1010690,Ruby,24,2175,2043,33222,13788,5986,74280,12886,16,900,0,Metasploit Framework
jgm,pandoc,2010-03-20 20:34:23,2024-06-30 10:18:49,False,64986,Haskell,15,508,514,33133,3297,7488,17538,2024,71,226,136,Universal markup converter
netty,netty,2010-11-09 09:22:21,2024-06-28 03:13:13,False,90030,Java,9,668,1746,33039,15803,6393,11498,7546,19,282,0,Netty project - an event-driven asynchronous network application framework
appsmithorg,appsmith,2020-06-30 04:07:36,2024-06-30 09:29:02,False,680431,TypeScript,13,328,285,32278,3498,19876,17854,14560,1407,265,229,"Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API."
ziglang,zig,2015-08-06 00:51:28,2024-06-30 11:06:17,False,277564,Zig,11,885,357,31934,2333,10794,29604,9581,26,19,18,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software."
ray-project,ray,2016-10-25 19:38:30,2024-06-30 13:41:20,False,405899,Python,15,983,474,31899,5435,17900,22019,28148,786,95,87,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.
ccxt,ccxt,2017-05-14 15:41:56,2024-06-30 13:39:14,False,3212968,Python,13,670,929,31864,7361,9966,83336,12848,20,826,33,A JavaScript / TypeScript / Python / C# / PHP cryptocurrency trading API with support for more than 100 bitcoin/altcoin exchanges
laravel,framework,2013-01-10 21:27:28,2024-06-30 09:28:15,False,81372,PHP,6,3394,986,31788,10751,18016,37745,30078,20,1022,733,The Laravel Framework.
jellyfin,jellyfin,2018-12-09 06:36:45,2024-06-30 11:56:16,False,63265,C#,4,1099,321,31644,2892,6087,25995,4986,28,75,74,The Free Software Media System
sqlmapproject,sqlmap,2012-06-26 09:52:15,2024-06-28 22:29:06,False,83533,Python,9,126,1093,31214,5598,5188,10191,394,4,112,9,Automatic SQL injection and database takeover tool
certbot,certbot,2014-11-12 02:52:20,2024-06-21 18:34:22,False,51933,Python,11,485,750,31096,3378,5290,10947,4623,846,136,52,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.
expo,expo,2016-08-15 17:14:25,2024-06-30 13:14:55,False,3024183,TypeScript,14,1310,290,30811,4867,13924,22495,15125,533,0,0,"An open-source framework for making universal native apps with React. Expo runs on Android, iOS, and the web."
logseq,logseq,2020-05-23 00:06:06,2024-06-30 09:46:51,False,122389,Clojure,12,275,210,30742,1786,7541,12731,3277,83,187,147,"A privacy-first, open-source platform for knowledge management and collaboration. Download link:  http://github.com/logseq/logseq/releases. roadmap: http://trello.com/b/8txSM12G/roadmap"
DIYgod,RSSHub,2018-04-02 14:43:21,2024-06-30 02:01:57,False,336810,TypeScript,5,1027,338,30700,6861,5324,12032,10490,14,0,0,🧡 Everything is RSSible
hashicorp,vault,2015-02-25 00:15:59,2024-06-28 22:45:17,False,285161,Go,12,2176,819,29994,4119,6052,19909,21428,2611,385,144,"A tool for secrets management, encryption as a service, and privileged access management"
SeleniumHQ,selenium,2013-01-14 21:40:56,2024-06-29 19:34:34,False,2192373,Java,20,749,1289,29731,8017,10212,31880,3848,75,225,95,A browser automation framework and ecosystem.
foundation,foundation-sites,2011-10-13 23:05:42,2024-08-05 20:16:52,False,124223,HTML,4,1039,1233,29656,5485,8221,17271,4095,31,153,78,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.
cockroachdb,cockroach,2014-02-06 00:18:47,2024-06-30 13:13:44,False,2735072,Go,21,860,694,29487,3694,63295,95254,62992,71,675,0,"CockroachDB - the open source, cloud-native distributed SQL database."
symfony,symfony,2010-01-04 14:21:21,2024-06-30 10:40:35,False,280101,PHP,8,3011,1101,29460,9405,20105,70872,32969,32,761,503,The Symfony PHP framework
TeamNewPipe,NewPipe,2015-09-03 23:39:26,2024-06-30 12:19:24,False,75136,Java,3,854,599,29412,2941,8722,11226,2111,6,132,129,A libre lightweight streaming front-end for Android.
SerenityOS,serenity,2018-12-02 19:28:41,2024-06-30 12:33:31,False,221031,C++,19,1029,345,29317,3132,4154,61984,20394,1,0,0,The Serenity Operating System 🐞
sequelize,sequelize,2010-07-22 07:11:11,2024-06-28 03:51:29,False,61817,TypeScript,4,1067,417,29231,4251,10293,11026,6511,49,665,478,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i."
explosion,spaCy,2014-07-03 15:15:40,2024-06-26 07:41:41,False,202523,Python,13,670,557,29173,4326,5609,16134,4005,62,158,123,💫 Industrial-strength Natural Language Processing (NLP) in Python
penpot,penpot,2015-12-29 22:09:07,2024-06-28 14:22:00,False,141207,Clojure,15,158,207,29097,1418,1453,14049,3125,98,161,37,Penpot: The open-source design tool for design and code collaboration
google,jax,2018-10-25 21:25:02,2024-06-30 05:19:12,False,87977,Python,7,668,327,29008,2652,5293,21625,14230,489,244,107,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more"
